epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.4433,1.63769,2.97258,1.44649,0.26114,0.21084,0.19411,0.10775,1.58156,2.75288,1.34985,0.0672973,0.00033033,0.00033033
2,63.4264,1.61768,2.0308,1.48253,0.46808,0.35582,0.33584,0.16619,1.72646,2.07756,1.42195,0.0342929,0.00065924,0.00065924
3,97.0472,1.57137,1.84164,1.43217,0.48861,0.4279,0.41439,0.22122,1.55604,1.72225,1.33486,0.00128401,0.000983705,0.000983705
4,138.004,1.53781,1.72417,1.42155,0.59394,0.42614,0.45875,0.25079,1.52063,1.53463,1.27488,0.000980002,0.000980002,0.000980002
5,181.617,1.52531,1.64752,1.39427,0.70928,0.44729,0.51129,0.30179,1.43882,1.36672,1.24475,0.000973336,0.000973336,0.000973336
6,214.657,1.48327,1.56013,1.36646,0.68272,0.46607,0.52814,0.29462,1.50746,1.32428,1.24756,0.00096667,0.00096667,0.00096667
7,246.007,1.44908,1.49709,1.35451,0.82234,0.47377,0.56748,0.3674,1.19414,1.25114,1.16375,0.000960004,0.000960004,0.000960004
8,277.849,1.43185,1.4366,1.34658,0.7201,0.50216,0.55555,0.32758,1.32451,1.17439,1.1691,0.000953338,0.000953338,0.000953338
9,309.834,1.41336,1.40309,1.33005,0.69794,0.47949,0.54627,0.31098,1.50062,1.28326,1.2295,0.000946672,0.000946672,0.000946672
10,342.617,1.38504,1.33981,1.3175,0.76691,0.49645,0.58239,0.37386,1.22493,1.14551,1.12632,0.000940006,0.000940006,0.000940006
11,374.776,1.38751,1.36104,1.31305,0.69931,0.5126,0.57924,0.35642,1.33483,1.13954,1.15521,0.00093334,0.00093334,0.00093334
12,405.684,1.35432,1.28221,1.2975,0.79194,0.53253,0.61801,0.41059,1.12477,1.03448,1.08334,0.000926674,0.000926674,0.000926674
13,438.632,1.36936,1.3077,1.29914,0.75763,0.53493,0.59478,0.36902,1.28108,1.127,1.12698,0.000920008,0.000920008,0.000920008
14,471.035,1.3408,1.24771,1.27288,0.71854,0.56312,0.61508,0.3981,1.20093,1.02089,1.10541,0.000913342,0.000913342,0.000913342
15,502.089,1.33822,1.22882,1.28283,0.71712,0.55564,0.62093,0.39344,1.13539,1.06312,1.11048,0.000906676,0.000906676,0.000906676
16,532.272,1.32224,1.23697,1.27736,0.84688,0.53293,0.63327,0.4242,1.09979,0.95926,1.07152,0.00090001,0.00090001,0.00090001
17,562.999,1.3348,1.21901,1.27209,0.83493,0.51713,0.62257,0.43083,1.02362,0.99807,1.05281,0.000893344,0.000893344,0.000893344
18,594.17,1.30399,1.1892,1.25999,0.82544,0.51951,0.62817,0.41241,1.133,1.01969,1.07131,0.000886678,0.000886678,0.000886678
19,624.702,1.32344,1.20456,1.26479,0.82663,0.5265,0.63128,0.41372,1.08951,0.97264,1.04681,0.000880012,0.000880012,0.000880012
20,654.241,1.30004,1.16396,1.24692,0.84236,0.57241,0.67215,0.41584,1.16344,0.95087,1.07925,0.000873346,0.000873346,0.000873346
21,684.796,1.2767,1.13347,1.23906,0.80534,0.58284,0.65356,0.41099,1.20334,1.01686,1.09586,0.00086668,0.00086668,0.00086668
22,715.196,1.28334,1.14331,1.24211,0.81466,0.58378,0.66673,0.4496,1.04405,0.90459,1.05069,0.000860014,0.000860014,0.000860014
23,744.857,1.28377,1.14882,1.24088,0.78621,0.60149,0.66363,0.43363,1.07191,0.90519,1.04047,0.000853348,0.000853348,0.000853348
24,774.889,1.26302,1.11538,1.23666,0.82634,0.56268,0.65652,0.43393,1.099,0.93495,1.04982,0.000846682,0.000846682,0.000846682
25,805.531,1.26057,1.08839,1.22242,0.84712,0.56335,0.66654,0.43924,1.08713,0.92268,1.05432,0.000840016,0.000840016,0.000840016
26,835.712,1.23707,1.07097,1.22146,0.83039,0.58507,0.66727,0.44461,0.99527,0.89318,1.03448,0.00083335,0.00083335,0.00083335
27,865.853,1.23525,1.07548,1.2081,0.78751,0.60363,0.65743,0.45077,1.02838,0.86949,1.03369,0.000826684,0.000826684,0.000826684
28,895.545,1.25209,1.08347,1.22601,0.82475,0.55595,0.64588,0.41826,1.13625,0.91803,1.06409,0.000820018,0.000820018,0.000820018
29,925.943,1.22239,1.0458,1.21624,0.80731,0.60299,0.67614,0.46631,0.98344,0.84509,1.02393,0.000813352,0.000813352,0.000813352
30,956.719,1.23522,1.04778,1.21778,0.82128,0.57282,0.66719,0.44189,1.06014,0.89531,1.02544,0.000806686,0.000806686,0.000806686
31,986.445,1.2302,1.05483,1.21651,0.83616,0.58061,0.67371,0.45452,1.04835,0.85144,1.04003,0.00080002,0.00080002,0.00080002
32,1016.08,1.23153,1.0349,1.21285,0.79898,0.60522,0.67931,0.44661,1.05617,0.82474,1.03271,0.000793354,0.000793354,0.000793354
33,1046.46,1.21033,1.02654,1.20045,0.78761,0.59233,0.66685,0.45587,0.97907,0.82102,1.01038,0.000786688,0.000786688,0.000786688
34,1076.36,1.19771,1.018,1.19231,0.80456,0.62126,0.69461,0.46653,1.00193,0.81513,1.00901,0.000780022,0.000780022,0.000780022
35,1105.97,1.20653,1.0256,1.20389,0.82121,0.61377,0.68846,0.4673,1.03569,0.83615,1.01662,0.000773356,0.000773356,0.000773356
36,1136.71,1.20941,1.01103,1.1957,0.81245,0.60056,0.67489,0.47133,0.95584,0.81504,1.00303,0.00076669,0.00076669,0.00076669
37,1167.03,1.1957,1.01252,1.19834,0.86738,0.59886,0.68618,0.468,1.03629,0.81089,1.02125,0.000760024,0.000760024,0.000760024
38,1197.21,1.19358,0.98635,1.1932,0.83309,0.61143,0.68821,0.4786,0.96094,0.78884,1.00316,0.000753358,0.000753358,0.000753358
39,1227.42,1.18451,0.98083,1.18721,0.83137,0.64339,0.70366,0.48824,0.94586,0.79199,0.99984,0.000746692,0.000746692,0.000746692
40,1257.18,1.18057,0.97281,1.18298,0.85417,0.60948,0.69074,0.49126,0.91197,0.78511,0.97987,0.000740026,0.000740026,0.000740026
41,1286.76,1.17154,0.95179,1.17837,0.8687,0.61439,0.70296,0.47765,0.97792,0.75554,1.00216,0.00073336,0.00073336,0.00073336
42,1317.65,1.18579,0.9688,1.18958,0.82844,0.5977,0.68888,0.4817,0.94829,0.7689,0.98614,0.000726694,0.000726694,0.000726694
43,1347.82,1.18751,0.97784,1.17934,0.87357,0.61773,0.70094,0.47502,0.96489,0.76827,1.0018,0.000720028,0.000720028,0.000720028
44,1377.72,1.17004,0.96787,1.18724,0.77402,0.61809,0.6796,0.47079,0.96866,0.77121,1.00362,0.000713362,0.000713362,0.000713362
45,1408.43,1.14756,0.92934,1.16484,0.85232,0.61157,0.69163,0.49596,0.8894,0.7512,0.97509,0.000706696,0.000706696,0.000706696
