epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.2056,1.63293,2.43171,1.51516,0.59336,0.38907,0.41676,0.23202,1.5303,1.50214,1.31521,0.0671493,0.000331825,0.000331825
2,86.8181,1.57447,1.73001,1.49287,0.53003,0.43481,0.44454,0.25367,1.47475,1.76576,1.30984,0.0341449,0.000660724,0.000660724
3,129.703,1.57785,1.66806,1.5013,0.62993,0.47227,0.51114,0.2881,1.47492,1.50846,1.33747,0.00113601,0.00098518,0.00098518
4,172.637,1.54904,1.60073,1.47984,0.70492,0.49571,0.56455,0.31234,1.52705,1.285,1.34682,0.000980002,0.000980002,0.000980002
5,215.605,1.51573,1.54569,1.45234,0.73237,0.45722,0.54817,0.29615,1.51787,1.20619,1.3059,0.000973336,0.000973336,0.000973336
6,259.447,1.49648,1.5004,1.43791,0.73066,0.52106,0.57269,0.34886,1.30199,1.16571,1.22003,0.00096667,0.00096667,0.00096667
7,303.387,1.43997,1.41173,1.39175,0.8251,0.54259,0.63551,0.38436,1.27311,1.04291,1.20082,0.000960004,0.000960004,0.000960004
8,347.334,1.41795,1.34552,1.37797,0.78555,0.54845,0.62655,0.39419,1.21539,1.05575,1.1561,0.000953338,0.000953338,0.000953338
9,391.097,1.42529,1.34051,1.37315,0.7914,0.55708,0.63317,0.39147,1.23088,1.01829,1.17236,0.000946672,0.000946672,0.000946672
10,435.094,1.39918,1.3067,1.37505,0.76726,0.55481,0.62651,0.3996,1.22137,1.0063,1.15291,0.000940006,0.000940006,0.000940006
11,479.324,1.36533,1.241,1.33876,0.84403,0.5671,0.66342,0.43491,1.06075,0.91789,1.11028,0.00093334,0.00093334,0.00093334
12,523.474,1.37125,1.24092,1.34389,0.80684,0.57565,0.65011,0.4289,1.08627,0.93611,1.11785,0.000926674,0.000926674,0.000926674
